2023-07-26 15:25:39,800 - INFO - FileInfo(name='блоки схемы', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='1', extension='.drawio', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='ДЗ 1', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='123', extension='.drawio', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='среднее арифметическое среди всех элементов массива', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='Без названия', extension='.drawio', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='2022-07-20_11-56-27', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='2022-07-20_12-04-18', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='блок схемы', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='Нахождение индексов максимального и минимального элемента массива', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='Снимок экрана 2022-07-18 в 12.38.16', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='2', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='2022-07-20_12-21-05', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='1', extension='.png', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/блоки схемы')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='python', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains')
2023-07-26 15:25:39,800 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='project_1', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='python_dz_task1', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='requirements', extension='.txt', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='dz1', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='task3', extension='.py', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/dz1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='task2', extension='.py', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/dz1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='task1', extension='.py', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/dz1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='task4', extension='.py', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/dz1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='UserDataApp', extension='.java', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='.git', extension='', is_directory=True, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1')
2023-07-26 15:25:39,801 - INFO - FileInfo(name='.DS_Store', extension='', is_directory=False, parent_directory='/Users/abadzealbert/Desktop/GeekBrains/python/project_1/python_dz_task1/.git')
